Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20,MA50,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,EMA12,EMA26,MACD,MACD_Signal,Daily_Return,Volatility_14d,DayOfWeek,marketCap,peRatio,dividendYield,eps,beta,Ticker,News_Sentiment,News_Compound
2018-05-17 00:00:00-04:00,44.529793398825596,44.745337415133605,44.14134215417004,44.290565490722656,69176000,0.0,0.0,44.45163421630859,41.83782768249512,41.28278854370117,87.84935959076276,41.83782768249512,2.620533802719467,47.07889528793405,36.59676007705618,43.54369519600274,42.418353852698374,1.1253413433043633,0.8510559847567528,-0.006323733492405892,0.016081815585495277,3,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Positive,0.0258
2018-05-18 00:00:00-04:00,44.33793984401655,44.48479227123444,44.086868166177105,44.12950134277344,73190800,0.0,0.0,44.343624877929685,42.08921508789062,41.33039588928223,84.79069964538677,42.08921508789062,2.5851651992729954,47.259545486436615,36.91888468934463,43.63381921858284,42.54510551862986,1.088713699952983,0.8985875277959989,-0.003636534014968884,0.01634374402069666,4,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Positive,0.0258
2018-05-21 00:00:00-04:00,44.529798837394644,44.83061285215697,44.27162161580014,44.442161560058594,73603200,0.0,0.0,44.31899185180664,42.36189765930176,41.36991081237793,83.46117751515867,42.36189765930176,2.5278800482083734,47.41765775571851,37.30613756288501,43.75817957880988,42.68562818836532,1.0725513904445592,0.9333803003257111,0.0070850611897148585,0.01582324113125939,0,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-22 00:00:00-04:00,44.61980751317354,44.73823783050188,44.24082905204025,44.33083724975586,60962800,0.0,0.0,44.3530990600586,42.656148529052736,41.39898780822754,75.97790959478647,42.656148529052736,2.3866157439588505,47.429380016970434,37.88291704113504,43.846280758955416,42.8074955262461,1.0387852327093157,0.954461286802432,-0.002504925647063616,0.012046472782716222,1,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-23 00:00:00-04:00,44.138974209238135,44.64822305301992,43.99922370858867,44.61506271362305,80233600,0.0,0.0,44.36162567138672,42.95623435974121,41.442007827758786,76.91589712045453,42.95623435974121,2.223260084488362,47.402754528717935,38.509714190764484,43.964554905827356,42.94138939197773,1.0231655138496265,0.968202132211871,0.006411461670933205,0.012029896952611462,2,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-24 00:00:00-04:00,44.71218274091747,44.72876110585403,44.10582009820154,44.56532669067383,92936000,0.0,0.0,44.416577911376955,43.24710922241211,41.49125328063965,65.8393756033388,43.24710922241211,2.0144369082032214,47.27598303881855,39.21823540600566,44.056981334265274,43.061681043732996,0.9953002905322776,0.9736217638759525,-0.0011147809713608625,0.006892540469168224,3,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-25 00:00:00-04:00,44.58426882426589,44.92061043575837,44.446889245339804,44.667171478271484,69844000,0.0,0.0,44.524111938476565,43.565491104125975,41.54154457092285,63.797404625975034,43.565491104125975,1.6640454719054436,46.89358204793686,40.23740016031509,44.15085674103546,43.18060626110622,0.9702504799292413,0.9729475070866103,0.002285292068081368,0.0067259740039254876,4,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-29 00:00:00-04:00,44.435055847043465,44.70744412716881,44.26214498408461,44.50611114501953,90056400,0.0,0.0,44.53690185546875,43.841135787963864,41.59158782958984,58.68535587673848,43.841135787963864,1.2788024690961264,46.39874072615612,41.28353084977161,44.20551126472532,43.27879180806276,0.9267194566625534,0.963701897001799,-0.0036057876046684534,0.006793326896187394,1,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-30 00:00:00-04:00,44.46347513370029,44.52979581705729,44.24082557634202,44.4113655090332,74762000,0.0,0.0,44.55300750732422,44.06674022674561,41.65257164001465,53.10142152117756,44.06674022674561,0.883781981246135,45.834304189237876,42.29917626425334,44.23718114846499,43.3626861562828,0.8744949921821927,0.9458605160378778,-0.0021288230660641005,0.006605885461277795,2,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
2018-05-31 00:00:00-04:00,44.34506013009636,44.58428813375345,44.089250142774134,44.26215744018555,109931200,0.0,0.0,44.482426452636716,44.19675617218017,41.71085464477539,39.67867907149125,44.19675617218017,0.6788881785014718,45.55453252918311,42.83897981517723,44.241023654883534,43.429313658794115,0.8117099960894194,0.9190304120481861,-0.003359682079969062,0.0052915533923062995,3,3591333740544,37.88748,42.0,6.31,1.178,AAPL,Negative,0.0
