Open,High,Low,Close,Volume,MA5,MA20,MA50,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower,EMA12,EMA26,MACD,MACD_Signal,Daily_Return,Volatility_14d,marketCap,peRatio,News_Compound
44.5297933988256,44.745337415133605,44.14134215417004,44.290565490722656,69176000,44.45163421630859,41.83782768249512,41.28278854370117,87.84935959076276,41.83782768249512,2.620533802719467,47.07889528793405,36.59676007705618,43.54369519600274,42.41835385269837,1.1253413433043633,0.8510559847567528,-0.0063237334924058,0.0160818155854952,3591333740544,37.88748,0.0258
44.33793984401655,44.48479227123444,44.08686816617711,44.12950134277344,73190800,44.343624877929685,42.08921508789062,41.33039588928223,84.79069964538677,42.08921508789062,2.585165199272996,47.259545486436615,36.91888468934463,43.63381921858284,42.54510551862986,1.088713699952983,0.8985875277959989,-0.0036365340149688,0.0163437440206966,3591333740544,37.88748,0.0258
44.52979883739464,44.83061285215697,44.27162161580014,44.442161560058594,73603200,44.31899185180664,42.36189765930176,41.36991081237793,83.46117751515867,42.36189765930176,2.5278800482083734,47.41765775571851,37.30613756288501,43.75817957880988,42.68562818836532,1.0725513904445592,0.9333803003257112,0.0070850611897148,0.0158232411312593,3591333740544,37.88748,0.0
44.61980751317354,44.73823783050188,44.24082905204025,44.33083724975586,60962800,44.3530990600586,42.656148529052736,41.39898780822754,75.97790959478647,42.656148529052736,2.3866157439588505,47.429380016970434,37.88291704113504,43.846280758955416,42.8074955262461,1.0387852327093157,0.954461286802432,-0.0025049256470636,0.0120464727827162,3591333740544,37.88748,0.0
44.138974209238135,44.64822305301992,43.99922370858867,44.61506271362305,80233600,44.36162567138672,42.95623435974121,41.44200782775879,76.91589712045453,42.95623435974121,2.223260084488362,47.402754528717935,38.50971419076448,43.96455490582736,42.94138939197773,1.0231655138496265,0.968202132211871,0.0064114616709332,0.0120298969526114,3591333740544,37.88748,0.0
44.71218274091747,44.72876110585403,44.10582009820154,44.56532669067383,92936000,44.41657791137696,43.24710922241211,41.49125328063965,65.8393756033388,43.24710922241211,2.0144369082032214,47.27598303881855,39.21823540600566,44.05698133426528,43.061681043733,0.9953002905322776,0.9736217638759525,-0.0011147809713608,0.0068925404691682,3591333740544,37.88748,0.0
44.58426882426589,44.92061043575837,44.44688924533981,44.66717147827149,69844000,44.524111938476565,43.565491104125975,41.54154457092285,63.79740462597504,43.565491104125975,1.6640454719054436,46.89358204793686,40.23740016031509,44.15085674103546,43.18060626110622,0.9702504799292412,0.9729475070866104,0.0022852920680813,0.0067259740039254,3591333740544,37.88748,0.0
44.435055847043465,44.70744412716881,44.26214498408461,44.50611114501953,90056400,44.53690185546875,43.84113578796386,41.59158782958984,58.68535587673848,43.84113578796386,1.2788024690961264,46.39874072615612,41.28353084977161,44.20551126472532,43.27879180806276,0.9267194566625534,0.963701897001799,-0.0036057876046684,0.0067933268961873,3591333740544,37.88748,0.0
44.46347513370029,44.52979581705729,44.24082557634202,44.4113655090332,74762000,44.55300750732422,44.06674022674561,41.65257164001465,53.10142152117756,44.06674022674561,0.883781981246135,45.83430418923788,42.29917626425334,44.23718114846499,43.3626861562828,0.8744949921821927,0.9458605160378778,-0.0021288230660641,0.0066058854612777,3591333740544,37.88748,0.0
44.34506013009636,44.58428813375345,44.08925014277413,44.26215744018555,109931200,44.48242645263672,44.19675617218017,41.71085464477539,39.67867907149125,44.19675617218017,0.6788881785014718,45.55453252918311,42.83897981517723,44.241023654883534,43.42931365879412,0.8117099960894194,0.919030412048186,-0.003359682079969,0.0052915533923062,3591333740544,37.88748,0.0
44.52742362719064,45.0650945644071,44.47057578446127,45.060359954833984,93770000,44.58143310546875,44.362907791137694,41.803835983276365,55.70143658682908,44.362907791137694,0.3908014223009582,45.14451063573961,43.58130494653578,44.36707539333745,43.55013190294522,0.8169434903922337,0.8986130277169957,0.0180335202983972,0.0072354538276733,3591333740544,37.88748,-0.128
45.391961853466896,45.81357340088076,45.32327387484121,45.43696594238281,105064800,44.73539199829101,44.46601448059082,41.91576942443848,61.77987798150853,44.46601448059082,0.3884162810144473,45.24284704261972,43.68918191856193,44.53167393934443,43.689897387348005,0.8417765519964249,0.8872457325728815,0.00835781134297,0.0074575386290029,3591333740544,37.88748,0.0
45.73068094215916,45.93674852187664,45.56250831426814,45.78752517700195,86264000,44.9916748046875,44.57095851898193,42.0531655883789,72.31991209481203,44.57095851898193,0.4465244856085363,45.464007490199,43.67790954776486,44.72488182206097,43.845277223618666,0.879604598442306,0.8857175057467664,0.0077152870432342,0.0069744508247545,3591333740544,37.88748,-0.296
45.86332896809294,45.96991553810496,45.45829566499922,45.94622802734375,83734400,45.29864730834961,44.67333812713623,42.15678588867188,70.25173735099382,44.67333812713623,0.5139124948025453,45.70116311674133,43.64551313753114,44.912781238258326,44.00090320907978,0.9118780291785455,0.8909496104331223,0.0034660718116625,0.0067107607096524,3591333740544,37.88748,0.0
45.98412257565429,45.99833363518498,45.55777271870154,45.82305908203125,85388800,45.61082763671875,44.75410404205322,42.278848037719726,73.70000235977064,44.75410404205322,0.5616062359838795,45.87731651402098,43.63089157008546,45.05282398345416,44.135877718187295,0.9169462652668656,0.896148941399871,-0.0026807194105074,0.0064194881763021,3591333740544,37.88748,0.0
45.280641688505526,45.47723642550802,44.94903828525194,45.40617752075195,106627200,45.67999114990234,44.78240909576416,42.40134994506836,68.29612038473607,44.78240909576416,0.58012769772118,45.94266449120652,43.6221537003218,45.10718606611536,44.22997399985875,0.877212066256611,0.892361566371219,-0.0090976370768482,0.0069609773616253,3591333740544,37.88748,0.0
